uprn,postcode,lsoa_code,RelHMax,calculatedAreaValue,total_consumption,mean_counsumption,median_consumption,prop_households_fuel_poor,LATITUDE,LONGITUDE,mainheat-description,current-energy-rating,current-energy-efficiency,confidence,confidence_within_one_rating,additional_load,additional_peak_load,predicted
100071186704,456,9,8.3,25-50_percentile,2571617.811764708,3705.501169689781,3085.6,16.619718309859156,0,0,0.0,D,65.0,,,0.0,0.0,0
100071187884,314,35,8.2,25-50_percentile,2096566.971428571,3523.641968787514,3019.7,21.49390243902439,0,0,0.0,D,57.0,,,0.0,0.0,0
100071142784,18,21,7.7,50-75_percentile,2258116.03766234,3653.909446055566,3082.15,31.118314424635336,0,0,0.0,D,62.0,,,0.0,0.0,0
100071183374,310,35,8.8,25-50_percentile,2096566.971428571,3523.641968787514,3019.7,21.49390243902439,0,0,0.0,D,59.0,,,0.0,0.0,0
100071181916,1009,18,8.9,>75_percentile,2723448.48285714,3189.049745734356,2518.65,23.622881355932204,0,0,0.0,D,67.0,,,0.0,0.0,0
100071167787,1125,40,7.8,<25_percentile,1990415.49857143,2835.349713064715,2355.1,25.073313782991203,0,0,0.0,D,61.0,,,0.0,0.0,0
10090639746,353,6,5.2,50-75_percentile,2227999.44,3243.085065502183,2654.7,26.412614980289096,0,0,0.0,C,79.0,,,0.0,0.0,0
100071153151,381,23,8.4,<25_percentile,1823220.319999998,3668.451348088528,3157.8,40.58721934369603,0,0,0.0,C,74.0,,,0.0,0.0,0
100071198251,464,8,10.1,50-75_percentile,2241874.092467534,4136.299063593236,3582.05,39.62962962962963,0,0,0.0,E,54.0,,,0.0,0.0,0
100071160441,1116,39,7.6,>75_percentile,1985858.633333334,2995.261890397185,2518.4,20.95639943741209,0,0,0.0,C,75.0,,,0.0,0.0,0
100071160892,653,26,7.3,<25_percentile,1903427.271428572,3681.677507598784,3342.8,42.700729927007295,0,0,0.0,C,70.0,,,0.0,0.0,0
100071178154,198,4,7.4,>75_percentile,2232751.876050422,3467.006018711835,2888.05,16.105417276720353,0,0,0.0,D,66.0,,,0.0,0.0,0
100071161170,1102,41,9.0,25-50_percentile,1739371.55607143,2805.437993663596,2414.65,24.645390070921984,0,0,0.0,E,47.0,,,0.0,0.0,0
100071194192,389,7,6.8,25-50_percentile,2051579.500000002,3676.665770609322,3139.45,33.77926421404682,0,0,0.0,D,65.0,,,0.0,0.0,0
100071156932,207,4,7.8,25-50_percentile,2232751.876050422,3467.006018711835,2888.05,16.105417276720353,0,0,0.0,E,40.0,,,0.0,0.0,0
